Provinsi,2017,2018,2019
ACEH,460,885,14143
SUMATERAUTARA,1183,1047,17207
SUMATERABARAT,580,1140,1551
RIAU,560,400,14749
JAMBI,1000,1130,1000
SUMATERASELATAN,660,550,17629
BENGKULU,295,675,771
LAMPUNG,600,125,16500
KEP.BANGKABELITUNG,335,350,500
KEP.RIAU,293,200,400
JAWABARAT,19837,4505,18241
JAWATENGAH,1375,1160,12057
JAWATIMUR,640,1625,19343
BALI,250,415,750
NUSATENGGARABARAT,606,1005,3100
NUSATENGGARATIMUR,450,1260,6000
KALIMANTANBARAT,650,382,11000
KALIMANTANTENGAH,254,775,400
KALIMANTANSELATAN,302,400,8300
KALIMANTANTIMUR,370,532,3700
SULAWESIUTARA,350,632,400
SULAWESITENGAH,490,835,200
SULAWESISELATAN,915,1357,19600
SULAWESITENGGARA,250,485,300
GORONTALO,490,425,12300
SULAWESIBARAT,400,300,2000
MALUKU,325,400,2050
MALUKUUTARA,205,275,500
PAPUABARAT,223,500,300
PAPUA,775,525,1000
